39, State-gov, 77516, 4, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 2174, 0, 40, United-States, 0
43, Self-emp-not-inc, 292175, 3, 14, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 45, United-States, 1
40, Private, 193524, 1, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, 1
54, Private, 302146, 8, 9, Separated, Other-service, Unmarried, Black, Female, 0, 0, 20, United-States, 0
35, Federal-gov, 76845, 12, 5, Married-civ-spouse, Farming-fishing, Husband, Black, Male, 0, 0, 40, United-States, 0
43, Private, 117037, 10, 7, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 2042, 40, United-States, 0
59, Private, 109015, 8, 9, Divorced, Tech-support, Unmarried, White, Female, 0, 0, 40, United-States, 0
56, Local-gov, 216851, 4, 13, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, 1
19, Private, 168294, 8, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, 0
39, Private, 367260, 8, 9, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 80, United-States, 0
49, Private, 193366, 8, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, 0
23, Local-gov, 190709, 6, 12, Never-married, Protective-serv, Not-in-family, White, Male, 0, 0, 52, United-States, 0
20, Private, 266015, 7, 10, Never-married, Sales, Own-child, Black, Male, 0, 0, 44, United-States, 0
45, Private, 386940, 4, 13, Divorced, Exec-managerial, Own-child, White, Male, 0, 1408, 40, United-States, 0
30, Federal-gov, 59951, 7, 10, Married-civ-spouse, Adm-clerical, Own-child, White, Male, 0, 0, 40, United-States, 0
22, State-gov, 311512, 7, 10, Married-civ-spouse, Other-service, Husband, Black, Male, 0, 0, 15, United-States, 0
48, Private, 242406, 10, 7, Never-married, Machine-op-inspct, Unmarried, White, Male, 0, 0, 40, Puerto-Rico, 0
21, Private, 197200, 7, 10, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 40, United-States, 0
19, Private, 544091, 8, 9, Married-AF-spouse, Adm-clerical, Wife, White, Female, 0, 0, 25, United-States, 0
48, Self-emp-not-inc, 265477, 6, 12, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, 0
31, Private, 507875, 12, 5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 43, United-States, 0
53, Self-emp-not-inc, 88506, 4, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, 0
24, Private, 172987, 4, 13, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 50, United-States, 0
49, Private, 94638, 8, 9, Separated, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, 0
25, Private, 289980, 8, 9, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 35, United-States, 0
57, Federal-gov, 337895, 4, 13, Married-civ-spouse, Prof-specialty, Husband, Black, Male, 0, 0, 40, United-States, 1
53, Private, 144361, 8, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 38, United-States, 0
44, Private, 128354, 3, 14, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 40, United-States, 0
41, State-gov, 101603, 5, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, 0
29, Private, 271466, 5, 11, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 43, United-States, 0
25, Private, 32275, 7, 10, Married-civ-spouse, Exec-managerial, Wife, Other, Female, 0, 0, 40, United-States, 0
47, Private, 51835, 2, 15, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 1902, 60, Honduras, 1
50, Federal-gov, 251585, 4, 13, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 55, United-States, 1
47, Self-emp-inc, 109832, 8, 9, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 60, United-States, 0
43, Private, 237993, 7, 10, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, 1
46, Private, 216666, 14, 3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, Mexico, 0
35, Private, 56352, 5, 11, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, Puerto-Rico, 0
41, Private, 147372, 8, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 48, United-States, 0
30, Private, 188146, 8, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 5013, 0, 40, United-States, 0
30, Private, 59496, 4, 13, Married-civ-spouse, Sales, Husband, White, Male, 2407, 0, 40, United-States, 0
48, Private, 149640, 8, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, 0
42, Private, 116632, 1, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 45, United-States, 1
29, Private, 105598, 7, 10, Divorced, Tech-support, Not-in-family, White, Male, 0, 0, 58, United-States, 0
36, Private, 155537, 8, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, 0
28, Private, 183175, 7, 10, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, 0
53, Private, 169846, 8, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 40, United-States, 1
49, Self-emp-inc, 191681, 7, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, 1
19, Private, 101509, 7, 10, Never-married, Prof-specialty, Own-child, White, Male, 0, 0, 32, United-States, 0
31, Private, 309974, 4, 13, Separated, Sales, Own-child, Black, Female, 0, 0, 40, United-States, 0
29, Self-emp-not-inc, 162298, 4, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 70, United-States, 1
23, Private, 211678, 7, 10, Never-married, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 40, United-States, 0
79, Private, 124744, 7, 10, Married-civ-spouse, Prof-specialty, Other-relative, White, Male, 0, 0, 20, United-States, 0
27, Private, 213921, 8, 9, Never-married, Other-service, Own-child, White, Male, 0, 0, 40, Mexico, 0
40, Private, 32214, 6, 12, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, 0
18, Private, 309634, 10, 7, Never-married, Other-service, Own-child, White, Female, 0, 0, 22, United-States, 0
31, Local-gov, 125927, 13, 4, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 40, United-States, 0
18, Private, 446839, 8, 9, Never-married, Sales, Not-in-family, White, Male, 0, 0, 30, United-States, 0
52, Private, 276515, 4, 13, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, Cuba, 0
46, Private, 51618, 8, 9, Married-civ-spouse, Other-service, Wife, White, Female, 0, 0, 40, United-States, 0
59, Private, 159937, 8, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 48, United-States, 0
44, Private, 343591, 8, 9, Divorced, Craft-repair, Not-in-family, White, Female, 14344, 0, 40, United-States, 1
53, Private, 346253, 8, 9, Divorced, Sales, Own-child, White, Female, 0, 0, 35, United-States, 0
49, Local-gov, 268234, 8, 9, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 40, United-States, 1
33, Private, 202051, 3, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, 0
30, Private, 54334, 12, 5, Never-married, Sales, Not-in-family, White, Male, 0, 0, 40, United-States, 0
43, Federal-gov, 410867, 1, 16, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 50, United-States, 1
57, Private, 249977, 5, 11, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, 0
37, Private, 286730, 7, 10, Divorced, Craft-repair, Unmarried, White, Female, 0, 0, 40, United-States, 0
28, Private, 212563, 7, 10, Divorced, Machine-op-inspct, Unmarried, Black, Female, 0, 0, 25, United-States, 0
34, Local-gov, 226296, 4, 13, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 40, United-States, 1
29, Local-gov, 115585, 7, 10, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 50, United-States, 0
48, Self-emp-not-inc, 191277, 1, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1902, 60, United-States, 1
37, Private, 202683, 7, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 48, United-States, 1
48, Private, 171095, 6, 12, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 40, England, 0
32, Federal-gov, 249409, 8, 9, Never-married, Other-service, Own-child, Black, Male, 0, 0, 40, United-States, 0
76, Private, 124191, 3, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, 1
44, Private, 198282, 4, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 60, United-States, 1
47, Self-emp-not-inc, 149116, 3, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 50, United-States, 0
20, Private, 188300, 7, 10, Never-married, Tech-support, Own-child, White, Female, 0, 0, 40, United-States, 0
29, Private, 103432, 8, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, 0
32, Self-emp-inc, 317660, 8, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 7688, 0, 40, United-States, 1
30, Private, 194901, 10, 7, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 40, United-States, 0
31, Local-gov, 189265, 8, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, 0
42, Private, 124692, 8, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, 0
24, Private, 432376, 4, 13, Never-married, Sales, Other-relative, White, Male, 0, 0, 40, United-States, 0
38, Private, 65324, 2, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, 1
56, Self-emp-not-inc, 335605, 8, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 1887, 50, Canada, 1
28, Private, 377869, 7, 10, Married-civ-spouse, Sales, Wife, White, Female, 4064, 0, 25, United-States, 0
36, Private, 102864, 8, 9, Never-married, Machine-op-inspct, Own-child, White, Female, 0, 0, 40, United-States, 0
53, Private, 95647, 12, 5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 50, United-States, 0
56, Self-emp-inc, 303090, 7, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, 0
49, Local-gov, 197371, 5, 11, Married-civ-spouse, Craft-repair, Husband, Black, Male, 0, 0, 40, United-States, 1
55, Private, 247552, 7, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 56, United-States, 0
22, Private, 102632, 8, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 41, United-States, 0
21, Private, 199915, 7, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 40, United-States, 0
40, Private, 118853, 4, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States, 0
30, Private, 77143, 4, 13, Never-married, Exec-managerial, Own-child, Black, Male, 0, 0, 40, Germany, 0
29, State-gov, 267989, 4, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, 1
19, Private, 301606, 7, 10, Never-married, Other-service, Own-child, Black, Male, 0, 0, 35, United-States, 0
47, Private, 287828, 4, 13, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 40, United-States, 1
20, Private, 111697, 7, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 1719, 28, United-States, 0
31, Private, 114937, 6, 12, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, 1
39, Private, 365739, 7, 10, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, 0
28, Private, 69621, 6, 12, Never-married, Sales, Not-in-family, White, Female, 0, 0, 60, United-States, 0
24, Private, 43323, 8, 9, Never-married, Other-service, Not-in-family, White, Female, 0, 1762, 40, United-States, 0
38, Self-emp-not-inc, 120985, 8, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 4386, 0, 35, United-States, 0
37, Private, 254202, 4, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, 0
46, Private, 146195, 6, 12, Divorced, Tech-support, Not-in-family, Black, Female, 0, 0, 36, United-States, 0
38, Federal-gov, 125933, 3, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, Iran, 1
43, Self-emp-not-inc, 56920, 8, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 60, United-States, 0
27, Private, 163127, 5, 11, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 35, United-States, 0
20, Private, 34310, 7, 10, Never-married, Sales, Own-child, White, Male, 0, 0, 20, United-States, 0
49, Private, 81973, 7, 10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, 0, 0, 40, United-States, 1
61, Self-emp-inc, 66614, 8, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, 0
27, Private, 232782, 7, 10, Never-married, Sales, Own-child, White, Female, 0, 0, 40, United-States, 0
19, Private, 316868, 7, 10, Never-married, Other-service, Own-child, White, Male, 0, 0, 30, Mexico, 0
45, Private, 196584, 5, 11, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 1564, 40, United-States, 1
70, Private, 105376, 7, 10, Never-married, Tech-support, Other-relative, White, Male, 0, 0, 40, United-States, 0
31, Private, 185814, 8, 9, Never-married, Transport-moving, Unmarried, Black, Female, 0, 0, 30, United-States, 0
22, Private, 175374, 7, 10, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 24, United-States, 0
36, Private, 108293, 8, 9, Widowed, Other-service, Unmarried, White, Female, 0, 0, 24, United-States, 0
64, Private, 181232, 10, 7, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 2179, 40, United-States, 0
47, Local-gov, 186009, 7, 10, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 38, Mexico, 0
34, Private, 198183, 8, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, 0
33, Private, 163003, 4, 13, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female, 0, 0, 40, Philippines, 0
21, Private, 296158, 8, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 35, United-States, 0
48, Private, 187715, 8, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 46, United-States, 0
23, Private, 214542, 4, 13, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States, 0
71, Self-emp-not-inc, 494223, 7, 10, Separated, Sales, Unmarried, Black, Male, 0, 1816, 2, United-States, 0
29, Private, 191535, 8, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 60, United-States, 0
42, Private, 228456, 4, 13, Separated, Other-service, Other-relative, Black, Male, 0, 0, 50, United-States, 0
25, Private, 252752, 8, 9, Never-married, Other-service, Unmarried, White, Female, 0, 0, 40, United-States, 0
44, Self-emp-inc, 78374, 3, 14, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female, 0, 0, 40, United-States, 0
28, Private, 88419, 8, 9, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 40, England, 0
45, Self-emp-not-inc, 201080, 3, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, 1
36, Private, 207157, 7, 10, Divorced, Other-service, Unmarried, White, Female, 0, 0, 40, Mexico, 0
39, Federal-gov, 235485, 6, 12, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 42, United-States, 0
46, State-gov, 102628, 3, 14, Widowed, Protective-serv, Unmarried, White, Male, 0, 0, 40, United-States, 0
18, Private, 25828, 10, 7, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 16, United-States, 0
66, Local-gov, 54826, 5, 11, Widowed, Prof-specialty, Not-in-family, White, Female, 0, 0, 20, United-States, 0
27, Private, 124953, 8, 9, Never-married, Other-service, Not-in-family, White, Male, 0, 1980, 40, United-States, 0
28, State-gov, 175325, 8, 9, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 40, United-States, 0
51, Private, 96062, 7, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 1977, 40, United-States, 1
27, Private, 428030, 4, 13, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 50, United-States, 0
28, State-gov, 149624, 4, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, 1
27, Private, 253814, 8, 9, Married-spouse-absent, Sales, Unmarried, White, Female, 0, 0, 25, United-States, 0
21, Private, 312956, 8, 9, Never-married, Craft-repair, Own-child, Black, Male, 0, 0, 40, United-States, 0
34, Private, 483777, 8, 9, Never-married, Handlers-cleaners, Not-in-family, Black, Male, 0, 0, 40, United-States, 0
18, Private, 183930, 8, 9, Never-married, Other-service, Own-child, White, Male, 0, 0, 12, United-States, 0
33, Private, 37274, 4, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 65, United-States, 0
44, Local-gov, 181344, 7, 10, Married-civ-spouse, Exec-managerial, Husband, Black, Male, 0, 0, 38, United-States, 1
43, Private, 114580, 7, 10, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, 0
30, Private, 633742, 7, 10, Never-married, Craft-repair, Not-in-family, Black, Male, 0, 0, 45, United-States, 0
40, Private, 286370, 13, 4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, Mexico, 1
37, Federal-gov, 29054, 7, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 42, United-States, 1
34, Private, 304030, 8, 9, Married-civ-spouse, Adm-clerical, Husband, Black, Male, 0, 0, 40, United-States, 0
41, Self-emp-not-inc, 143129, 4, 13, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, 0
31, Private, 99928, 3, 14, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 50, United-States, 0
58, State-gov, 109567, 1, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 1, United-States, 1
38, Private, 155222, 7, 10, Divorced, Machine-op-inspct, Not-in-family, Black, Female, 0, 0, 28, United-States, 0
24, Private, 159567, 7, 10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, 0
41, Local-gov, 523910, 4, 13, Married-civ-spouse, Craft-repair, Husband, Black, Male, 0, 0, 40, United-States, 0
47, Private, 120939, 7, 10, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 45, United-States, 0
41, Federal-gov, 130760, 4, 13, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 24, United-States, 0
23, Private, 197387, 14, 3, Married-civ-spouse, Transport-moving, Other-relative, White, Male, 0, 0, 40, Mexico, 0
36, Private, 99374, 7, 10, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, 0
40, Federal-gov, 56795, 3, 14, Never-married, Exec-managerial, Not-in-family, White, Female, 14084, 0, 55, United-States, 1
35, Private, 138992, 3, 14, Married-civ-spouse, Prof-specialty, Other-relative, White, Male, 7298, 0, 40, United-States, 1
24, Self-emp-not-inc, 32921, 8, 9, Never-married, Sales, Not-in-family, White, Male, 0, 0, 40, United-States, 0
26, Private, 397317, 3, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 1876, 40, United-States, 0
51, Private, 259323, 4, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, 1
42, Local-gov, 254817, 7, 10, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 1340, 40, United-States, 0
37, State-gov, 48211, 8, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 35, United-States, 0
18, Private, 140164, 10, 7, Never-married, Sales, Own-child, White, Female, 0, 0, 40, United-States, 0
36, Private, 128757, 4, 13, Married-civ-spouse, Other-service, Husband, Black, Male, 7298, 0, 36, United-States, 1
35, Private, 36270, 8, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 60, United-States, 0
58, Self-emp-inc, 210563, 8, 9, Married-civ-spouse, Sales, Wife, White, Female, 15024, 0, 35, United-States, 1
17, Private, 65368, 10, 7, Never-married, Sales, Own-child, White, Female, 0, 0, 12, United-States, 0
44, Local-gov, 160943, 8, 9, Married-civ-spouse, Transport-moving, Husband, Black, Male, 0, 0, 40, United-States, 0
37, Private, 208358, 8, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, 1
35, Private, 153790, 7, 10, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female, 0, 0, 40, United-States, 0
60, Private, 85815, 8, 9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, 0, 0, 40, United-States, 0
54, Self-emp-inc, 125417, 13, 4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, 1
37, Private, 635913, 4, 13, Never-married, Exec-managerial, Not-in-family, Black, Male, 0, 0, 60, United-States, 1
50, Private, 313321, 6, 12, Divorced, Sales, Not-in-family, White, Female, 0, 0, 40, United-States, 0
38, Private, 182609, 4, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, Poland, 0
45, Private, 109434, 4, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 55, United-States, 0
25, Private, 255004, 11, 6, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, 0
31, Private, 197860, 7, 10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, 0
90, Private, 51744, 8, 9, Never-married, Other-service, Not-in-family, Black, Male, 0, 2206, 40, United-States, 0
54, Private, 176681, 8, 9, Married-civ-spouse, Adm-clerical, Husband, Black, Male, 0, 0, 20, United-States, 0
53, Local-gov, 140359, 16, 1, Never-married, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 35, United-States, 0
18, Private, 243313, 8, 9, Never-married, Sales, Own-child, White, Female, 0, 0, 40, United-States, 0
66, Self-emp-not-inc, 167687, 8, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 1409, 0, 50, United-States, 0
75, Private, 314209, 5, 11, Widowed, Adm-clerical, Not-in-family, White, Female, 0, 0, 20, Columbia, 0
65, Private, 176796, 8, 9, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, 0
35, Private, 538583, 10, 7, Separated, Transport-moving, Not-in-family, Black, Male, 3674, 0, 40, United-States, 0
41, Private, 130408, 8, 9, Divorced, Sales, Unmarried, Black, Female, 0, 0, 38, United-States, 0
25, Private, 159732, 7, 10, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 42, United-States, 0
33, Private, 110978, 7, 10, Divorced, Craft-repair, Other-relative, Other, Female, 0, 0, 40, United-States, 0
28, Private, 76714, 2, 15, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 55, United-States, 1
59, State-gov, 268700, 8, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, 0
40, State-gov, 170525, 7, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 38, United-States, 0
41, Private, 180138, 4, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, Iran, 1
38, Local-gov, 115076, 3, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 70, United-States, 1
23, Private, 115458, 8, 9, Never-married, Transport-moving, Own-child, White, Male, 0, 0, 40, United-States, 0
40, Private, 347890, 4, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, 1
41, Self-emp-not-inc, 196001, 8, 9, Married-civ-spouse, Other-service, Wife, White, Female, 0, 0, 20, United-States, 0
24, State-gov, 273905, 6, 12, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 50, United-States, 0
38, Private, 179488, 7, 10, Divorced, Craft-repair, Not-in-family, White, Male, 0, 1741, 40, United-States, 0
58, Private, 236596, 8, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 45, United-States, 1
32, Private, 183916, 8, 9, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 34, United-States, 0
40, Private, 207578, 6, 12, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 1977, 60, United-States, 1
41, Private, 112763, 2, 15, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 40, United-States, 1
42, Private, 390781, 4, 13, Married-civ-spouse, Adm-clerical, Wife, Black, Female, 0, 0, 40, United-States, 0
59, Local-gov, 171328, 11, 6, Widowed, Other-service, Unmarried, Black, Female, 0, 0, 30, United-States, 0
19, Local-gov, 27382, 7, 10, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 40, United-States, 0
58, Private, 259014, 7, 10, Never-married, Transport-moving, Not-in-family, White, Male, 0, 0, 20, United-States, 0
42, Self-emp-not-inc, 303044, 8, 9, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male, 0, 0, 40, Cambodia, 1
20, Private, 117789, 8, 9, Never-married, Other-service, Own-child, White, Female, 0, 0, 40, United-States, 0
32, Private, 172579, 8, 9, Separated, Other-service, Not-in-family, White, Female, 0, 0, 30, United-States, 0
45, Private, 187666, 5, 11, Widowed, Exec-managerial, Not-in-family, White, Female, 0, 0, 45, United-States, 0
50, Private, 204518, 13, 4, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, 0
36, Private, 150042, 4, 13, Divorced, Prof-specialty, Own-child, White, Female, 0, 0, 40, United-States, 0
